PERFORMANCE_ID,SCORE,RATING,SONG_NAME,ARTIST,RELEASE_YEAR,SONG_DIFFICULTY_RATING,SONG_FUN_RATING,PERFORMANCE_DATETIME,TEAM_SIZE,INSTRUMENTS_COVERED,PREF_MATCH_RATIO,MONTH,DAY_OF_WEEK
66,30467,1.9,Highway to Hell,AC/DC,1979,5.8,8.9,2025-10-24,4,4,0.0,10,4
67,49135,8.7,Dream On,Aerosmith,1973,7.0,8.6,2026-02-11,4,4,0.0,2,2
68,40401,2.4,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2025-06-04,3,4,0.25,6,2
69,74441,1.0,Born to Run,Bruce Springsteen,1975,6.8,8.7,2025-12-08,4,4,0.5,12,0
70,63823,4.3,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2026-04-06,4,4,0.25,4,0
71,45813,7.0,Hotel California,Eagles,1977,7.8,8.5,2026-01-31,4,4,0.0,1,5
72,77453,2.5,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2026-02-04,2,4,0.0,2,2
73,10550,6.2,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2026-02-06,4,4,0.25,2,4
74,95050,2.5,Don't Stop Believin',Journey,1981,5.0,9.5,2025-11-30,4,4,0.5,11,6
75,50332,9.6,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2026-02-27,3,4,0.25,2,4
76,31815,6.4,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-05-08,3,4,0.25,5,3
77,82989,4.1,Don't Stop Believin',Journey,1981,5.0,9.5,2025-05-27,4,4,0.25,5,1
78,52926,2.6,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2025-05-18,3,4,0.0,5,6
79,93877,4.9,Paranoid,Black Sabbath,1970,5.5,8.3,2025-07-01,3,4,0.0,7,1
80,73593,8.9,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2025-12-20,4,4,0.25,12,5
81,67806,0.8,Hotel California,Eagles,1977,7.8,8.5,2025-09-29,4,4,0.25,9,0
82,47249,1.0,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-11-05,4,4,0.25,11,2
83,10774,4.5,Born to Run,Bruce Springsteen,1975,6.8,8.7,2026-01-06,4,4,0.5,1,1
84,96368,6.1,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2025-08-31,4,4,0.25,8,6
85,57596,2.9,Hotel California,Eagles,1977,7.8,8.5,2026-03-02,4,4,0.0,3,0
86,54070,10.0,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2026-03-18,4,4,0.25,3,2
87,82278,1.7,Paranoid,Black Sabbath,1970,5.5,8.3,2026-04-04,3,4,0.0,4,5
88,39477,3.8,Hotel California,Eagles,1977,7.8,8.5,2025-07-31,4,4,0.5,7,3
89,64820,4.9,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-09-15,4,4,0.5,9,0
90,24934,2.9,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2026-02-18,4,4,0.5,2,2
91,38983,5.1,Hotel California,Eagles,1977,7.8,8.5,2026-04-03,4,4,0.25,4,4
92,89048,9.3,Paranoid,Black Sabbath,1970,5.5,8.3,2026-02-28,4,4,0.0,2,5
93,43945,4.5,Don't Stop Believin',Journey,1981,5.0,9.5,2025-09-02,4,4,0.25,9,1
94,77571,6.5,Born to Run,Bruce Springsteen,1975,6.8,8.7,2025-05-28,4,4,0.25,5,2
95,74016,2.5,Highway to Hell,AC/DC,1979,5.8,8.9,2026-01-04,3,4,0.5,1,6
96,17528,7.6,Born to Run,Bruce Springsteen,1975,6.8,8.7,2025-10-17,4,4,0.25,10,4
97,85979,7.4,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2026-03-03,4,4,0.0,3,1
98,74498,3.0,Don't Stop Believin',Journey,1981,5.0,9.5,2025-06-06,4,4,0.0,6,4
99,92058,6.5,Thunderstruck,AC/DC,1990,8.0,9.5,2025-06-10,3,4,0.25,6,1
100,42600,8.8,Dream On,Aerosmith,1973,7.0,8.6,2025-07-02,4,4,0.25,7,2
101,75256,9.2,Don't Stop Believin',Journey,1981,5.0,9.5,2026-01-29,3,4,0.25,1,3
102,21700,3.2,Highway to Hell,AC/DC,1979,5.8,8.9,2025-08-26,4,4,0.25,8,1
103,85716,5.5,Won't Get Fooled Again,The Who,1971,7.8,8.9,2026-01-22,4,4,0.75,1,3
104,30919,3.7,Bohemian Rhapsody,Queen,1975,9.2,9.8,2025-09-17,4,4,0.25,9,2
105,34782,4.4,Born to Run,Bruce Springsteen,1975,6.8,8.7,2026-02-02,4,4,0.0,2,0
106,50720,0.2,Highway to Hell,AC/DC,1979,5.8,8.9,2026-02-20,3,4,0.25,2,4
107,17424,7.0,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2025-04-23,3,4,0.25,4,2
108,30140,4.4,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2025-08-04,4,4,1.0,8,0
109,91091,9.2,Paranoid,Black Sabbath,1970,5.5,8.3,2026-03-06,4,4,0.5,3,4
110,47389,6.3,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2025-09-24,3,4,0.5,9,2
111,76126,8.7,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-12-10,4,4,0.5,12,2
112,88407,9.4,Barracuda,Heart,1977,7.2,8.4,2025-06-05,4,4,0.25,6,3
113,34409,2.2,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2025-05-07,4,4,0.25,5,2
114,50086,8.6,Barracuda,Heart,1977,7.2,8.4,2025-11-14,4,4,0.0,11,4
115,36930,7.6,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2025-06-01,4,4,0.25,6,6
116,20725,7.0,Thunderstruck,AC/DC,1990,8.0,9.5,2026-01-12,4,4,0.0,1,0
117,46630,2.8,Dream On,Aerosmith,1973,7.0,8.6,2025-09-23,4,4,0.25,9,1
118,47348,2.3,Dream On,Aerosmith,1973,7.0,8.6,2025-06-26,4,4,0.25,6,3
119,60729,5.2,Paint It Black,The Rolling Stones,1966,6.5,8.0,2026-04-08,3,4,0.25,4,2
120,64585,8.5,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2026-02-24,4,4,0.25,2,1
121,26103,2.7,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2025-05-01,3,4,0.5,5,3
122,30808,0.7,Highway to Hell,AC/DC,1979,5.8,8.9,2025-08-06,4,4,0.75,8,2
123,16600,1.7,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-05-12,3,4,0.25,5,0
124,95492,7.2,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-10-16,4,4,0.0,10,3
125,14137,3.0,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-11-20,4,4,0.0,11,3
126,99281,7.9,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2025-04-20,4,4,0.25,4,6
127,20569,3.9,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2025-06-08,3,4,0.25,6,6
128,8978,10.0,Don't Stop Believin',Journey,1981,5.0,9.5,2026-04-17,4,4,0.25,4,4
129,90277,5.5,Barracuda,Heart,1977,7.2,8.4,2025-07-27,4,4,1.0,7,6
130,39157,2.3,We Will Rock You,Queen,1977,3.0,9.0,2026-03-22,4,4,0.25,3,6
131,23692,1.8,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-12-16,4,4,0.25,12,1
132,46216,3.5,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-11-30,4,4,0.25,11,6
133,44633,4.8,Kashmir,Led Zeppelin,1975,7.0,8.8,2026-04-06,4,4,0.25,4,0
134,71346,8.5,Don't Stop Believin',Journey,1981,5.0,9.5,2026-01-12,4,4,0.5,1,0
135,16839,1.4,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2025-12-13,4,4,0.25,12,5
136,70509,5.2,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2025-08-14,4,4,0.25,8,3
137,28375,6.4,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2025-06-18,4,4,0.0,6,2
138,22808,1.3,Paint It Black,The Rolling Stones,1966,6.5,8.0,2026-02-12,4,4,0.25,2,3
139,46221,0.5,Don't Stop Believin',Journey,1981,5.0,9.5,2025-07-29,3,4,0.5,7,1
140,48882,1.8,Born to Run,Bruce Springsteen,1975,6.8,8.7,2026-02-10,4,4,0.25,2,1
141,74454,8.8,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-09-21,4,4,0.25,9,6
142,32601,4.0,Dream On,Aerosmith,1973,7.0,8.6,2026-04-02,4,4,0.0,4,3
143,7256,3.7,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3,2026-03-20,4,4,0.0,3,4
144,53083,9.8,Barracuda,Heart,1977,7.2,8.4,2025-08-07,4,4,0.75,8,3
145,16484,9.3,Highway to Hell,AC/DC,1979,5.8,8.9,2026-02-25,4,4,0.25,2,2
146,62195,7.3,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2025-11-09,3,4,0.75,11,6
147,26583,4.5,Paint It Black,The Rolling Stones,1966,6.5,8.0,2025-08-05,4,4,0.0,8,1
148,10311,1.1,Hotel California,Eagles,1977,7.8,8.5,2025-05-07,4,4,0.25,5,2
149,75096,5.2,We Will Rock You,Queen,1977,3.0,9.0,2026-02-11,4,4,0.5,2,2
150,37559,1.9,We Will Rock You,Queen,1977,3.0,9.0,2026-02-17,4,4,0.25,2,1
151,94311,5.6,Hotel California,Eagles,1977,7.8,8.5,2025-10-13,4,4,0.0,10,0
152,41705,7.7,Bohemian Rhapsody,Queen,1975,9.2,9.8,2026-02-05,2,4,0.5,2,3
153,58885,3.6,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3,2026-04-14,4,4,0.0,4,1
154,69546,5.5,We Will Rock You,Queen,1977,3.0,9.0,2025-12-01,3,4,0.75,12,0
155,58739,2.7,Won't Get Fooled Again,The Who,1971,7.8,8.9,2026-04-11,4,4,0.0,4,5
156,27495,8.0,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3,2025-06-10,4,4,0.25,6,1
157,26239,3.7,Thunderstruck,AC/DC,1990,8.0,9.5,2025-10-14,4,4,0.25,10,1
158,81996,8.7,Hotel California,Eagles,1977,7.8,8.5,2025-12-24,4,4,0.25,12,2
159,86484,3.3,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2025-12-20,3,4,0.5,12,5
160,5916,0.5,We Will Rock You,Queen,1977,3.0,9.0,2026-03-02,4,4,0.0,3,0
161,89103,4.0,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2025-05-09,4,4,0.0,5,4
162,30428,9.8,Barracuda,Heart,1977,7.2,8.4,2025-04-20,4,4,0.25,4,6
163,13834,7.2,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-09-28,4,4,0.0,9,6
164,98443,0.3,Born to Run,Bruce Springsteen,1975,6.8,8.7,2026-03-08,4,4,0.25,3,6
165,41867,10.0,Smoke on the Water,Deep Purple,1972,4.5,7.5,2026-03-04,4,4,0.0,3,2
166,72622,9.8,Dream On,Aerosmith,1973,7.0,8.6,2025-08-04,4,4,0.25,8,0
167,40640,1.7,Highway to Hell,AC/DC,1979,5.8,8.9,2026-01-20,3,4,0.25,1,1
168,99668,4.4,Dream On,Aerosmith,1973,7.0,8.6,2025-06-14,4,4,0.0,6,5
169,48447,3.7,Highway to Hell,AC/DC,1979,5.8,8.9,2025-08-05,3,4,0.0,8,1
170,75534,9.4,Highway to Hell,AC/DC,1979,5.8,8.9,2025-06-23,4,4,0.25,6,0
171,69889,2.7,Don't Stop Believin',Journey,1981,5.0,9.5,2026-01-05,4,4,0.25,1,0
172,81716,1.7,Back in Black,AC/DC,1980,6.0,8.8,2026-03-09,3,4,0.25,3,0
173,99449,5.2,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2025-09-16,4,4,0.5,9,1
174,9090,7.6,Paint It Black,The Rolling Stones,1966,6.5,8.0,2025-06-03,3,4,0.25,6,1
175,51148,6.3,Back in Black,AC/DC,1980,6.0,8.8,2025-10-27,3,4,0.0,10,0
176,65282,7.8,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2025-07-08,3,4,0.5,7,1
177,97649,3.1,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-07-14,4,4,0.5,7,0
178,75849,8.6,Paranoid,Black Sabbath,1970,5.5,8.3,2025-08-15,3,4,0.0,8,4
179,63634,8.4,Dream On,Aerosmith,1973,7.0,8.6,2025-06-22,4,4,0.25,6,6
180,76600,8.2,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-05-12,4,4,0.0,5,0
181,63235,6.9,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2025-05-23,4,4,0.25,5,4
182,53870,7.2,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2026-02-25,3,4,0.25,2,2
183,90162,7.5,Highway to Hell,AC/DC,1979,5.8,8.9,2025-08-10,4,4,0.5,8,6
184,38929,5.8,Back in Black,AC/DC,1980,6.0,8.8,2025-12-20,4,4,0.0,12,5
185,35704,8.8,Paint It Black,The Rolling Stones,1966,6.5,8.0,2025-05-15,4,4,0.25,5,3
186,63843,5.2,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2026-04-05,4,4,0.5,4,6
187,38888,1.3,Thunderstruck,AC/DC,1990,8.0,9.5,2025-06-27,4,4,0.0,6,4
188,94793,6.6,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-06-28,4,4,0.0,6,5
189,28008,9.7,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-09-01,2,4,0.25,9,0
190,46134,4.1,Kashmir,Led Zeppelin,1975,7.0,8.8,2026-02-21,4,4,0.5,2,5
191,8464,3.8,Don't Stop Believin',Journey,1981,5.0,9.5,2025-06-10,4,4,0.25,6,1
192,14392,1.0,Hotel California,Eagles,1977,7.8,8.5,2025-09-16,4,4,0.25,9,1
193,25969,3.1,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2026-04-11,4,4,0.25,4,5
194,57971,1.3,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-08-20,4,4,0.25,8,2
195,71659,6.5,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-08-02,3,4,0.25,8,5
196,33725,9.6,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-05-15,3,4,0.25,5,3
197,53874,9.4,Paranoid,Black Sabbath,1970,5.5,8.3,2025-10-12,4,4,0.0,10,6
198,99345,2.6,Paint It Black,The Rolling Stones,1966,6.5,8.0,2025-10-27,4,4,0.5,10,0
199,69432,7.5,Back in Black,AC/DC,1980,6.0,8.8,2026-03-11,4,4,0.25,3,2
200,78075,3.3,Back in Black,AC/DC,1980,6.0,8.8,2025-12-15,4,4,0.0,12,0
