PERFORMANCE_ID,SONG_ID,PERFORMANCE_DATETIME,SCORE,RATING
76,6,2025-05-08 00:00:00.000,31815,6.4
77,17,2025-05-27 00:00:00.000,82989,4.1
78,4,2025-05-18 00:00:00.000,52926,2.6
79,10,2025-07-01 00:00:00.000,93877,4.9
80,7,2025-12-20 00:00:00.000,73593,8.9
81,3,2025-09-29 00:00:00.000,67806,0.8
82,6,2025-11-05 00:00:00.000,47249,1.0
83,9,2026-01-06 00:00:00.000,10774,4.5
84,4,2025-08-31 00:00:00.000,96368,6.1
85,3,2026-03-02 00:00:00.000,57596,2.9
86,4,2026-03-18 00:00:00.000,54070,10.0
87,10,2026-04-04 00:00:00.000,82278,1.7
88,3,2025-07-31 00:00:00.000,39477,3.8
89,6,2025-09-15 00:00:00.000,64820,4.9
90,4,2026-02-18 00:00:00.000,24934,2.9
91,3,2026-04-03 00:00:00.000,38983,5.1
92,10,2026-02-28 00:00:00.000,89048,9.3
93,17,2025-09-02 00:00:00.000,43945,4.5
94,9,2025-05-28 00:00:00.000,77571,6.5
95,20,2026-01-04 00:00:00.000,74016,2.5
96,9,2025-10-17 00:00:00.000,17528,7.6
97,15,2026-03-03 00:00:00.000,85979,7.4
98,17,2025-06-06 00:00:00.000,74498,3.0
99,12,2025-06-10 00:00:00.000,92058,6.5
100,11,2025-07-02 00:00:00.000,42600,8.8
101,17,2026-01-29 00:00:00.000,75256,9.2
102,20,2025-08-26 00:00:00.000,21700,3.2
103,14,2026-01-22 00:00:00.000,85716,5.5
104,2,2025-09-17 00:00:00.000,30919,3.7
105,9,2026-02-02 00:00:00.000,34782,4.4
106,20,2026-02-20 00:00:00.000,50720,0.2
107,1,2025-04-23 00:00:00.000,17424,7.0
108,1,2025-08-04 00:00:00.000,30140,4.4
109,10,2026-03-06 00:00:00.000,91091,9.2
110,15,2025-09-24 00:00:00.000,47389,6.3
111,14,2025-12-10 00:00:00.000,76126,8.7
112,13,2025-06-05 00:00:00.000,88407,9.4
113,7,2025-05-07 00:00:00.000,34409,2.2
114,13,2025-11-14 00:00:00.000,50086,8.6
115,1,2025-06-01 00:00:00.000,36930,7.6
116,12,2026-01-12 00:00:00.000,20725,7.0
117,11,2025-09-23 00:00:00.000,46630,2.8
118,11,2025-06-26 00:00:00.000,47348,2.3
119,8,2026-04-08 00:00:00.000,60729,5.2
120,7,2026-02-24 00:00:00.000,64585,8.5
121,15,2025-05-01 00:00:00.000,26103,2.7
122,20,2025-08-06 00:00:00.000,30808,0.7
123,6,2025-05-12 00:00:00.000,16600,1.7
124,6,2025-10-16 00:00:00.000,95492,7.2
125,14,2025-11-20 00:00:00.000,14137,3.0
126,1,2025-04-20 00:00:00.000,99281,7.9
127,7,2025-06-08 00:00:00.000,20569,3.9
128,17,2026-04-17 00:00:00.000,8978,10.0
129,13,2025-07-27 00:00:00.000,90277,5.5
130,19,2026-03-22 00:00:00.000,39157,2.3
131,14,2025-12-16 00:00:00.000,23692,1.8
132,16,2025-11-30 00:00:00.000,46216,3.5
133,16,2026-04-06 00:00:00.000,44633,4.8
134,17,2026-01-12 00:00:00.000,71346,8.5
135,7,2025-12-13 00:00:00.000,16839,1.4
136,15,2025-08-14 00:00:00.000,70509,5.2
137,15,2025-06-18 00:00:00.000,28375,6.4
138,8,2026-02-12 00:00:00.000,22808,1.3
139,17,2025-07-29 00:00:00.000,46221,0.5
140,9,2026-02-10 00:00:00.000,48882,1.8
141,6,2025-09-21 00:00:00.000,74454,8.8
142,11,2026-04-02 00:00:00.000,32601,4.0
143,18,2026-03-20 00:00:00.000,7256,3.7
144,13,2025-08-07 00:00:00.000,53083,9.8
145,20,2026-02-25 00:00:00.000,16484,9.3
146,1,2025-11-09 00:00:00.000,62195,7.3
147,8,2025-08-05 00:00:00.000,26583,4.5
148,3,2025-05-07 00:00:00.000,10311,1.1
149,19,2026-02-11 00:00:00.000,75096,5.2
150,19,2026-02-17 00:00:00.000,37559,1.9
151,3,2025-10-13 00:00:00.000,94311,5.6
152,2,2026-02-05 00:00:00.000,41705,7.7
153,18,2026-04-14 00:00:00.000,58885,3.6
154,19,2025-12-01 00:00:00.000,69546,5.5
155,14,2026-04-11 00:00:00.000,58739,2.7
156,18,2025-06-10 00:00:00.000,27495,8.0
157,12,2025-10-14 00:00:00.000,26239,3.7
158,3,2025-12-24 00:00:00.000,81996,8.7
159,1,2025-12-20 00:00:00.000,86484,3.3
160,19,2026-03-02 00:00:00.000,5916,0.5
161,7,2025-05-09 00:00:00.000,89103,4.0
162,13,2025-04-20 00:00:00.000,30428,9.8
163,6,2025-09-28 00:00:00.000,13834,7.2
164,9,2026-03-08 00:00:00.000,98443,0.3
165,6,2026-03-04 00:00:00.000,41867,10.0
166,11,2025-08-04 00:00:00.000,72622,9.8
167,20,2026-01-20 00:00:00.000,40640,1.7
168,11,2025-06-14 00:00:00.000,99668,4.4
169,20,2025-08-05 00:00:00.000,48447,3.7
170,20,2025-06-23 00:00:00.000,75534,9.4
171,17,2026-01-05 00:00:00.000,69889,2.7
172,5,2026-03-09 00:00:00.000,81716,1.7
173,4,2025-09-16 00:00:00.000,99449,5.2
174,8,2025-06-03 00:00:00.000,9090,7.6
175,5,2025-10-27 00:00:00.000,51148,6.3
176,15,2025-07-08 00:00:00.000,65282,7.8
177,16,2025-07-14 00:00:00.000,97649,3.1
178,10,2025-08-15 00:00:00.000,75849,8.6
179,11,2025-06-22 00:00:00.000,63634,8.4
180,14,2025-05-12 00:00:00.000,76600,8.2
181,4,2025-05-23 00:00:00.000,63235,6.9
182,15,2026-02-25 00:00:00.000,53870,7.2
183,20,2025-08-10 00:00:00.000,90162,7.5
184,5,2025-12-20 00:00:00.000,38929,5.8
185,8,2025-05-15 00:00:00.000,35704,8.8
186,4,2026-04-05 00:00:00.000,63843,5.2
187,12,2025-06-27 00:00:00.000,38888,1.3
188,16,2025-06-28 00:00:00.000,94793,6.6
189,14,2025-09-01 00:00:00.000,28008,9.7
190,16,2026-02-21 00:00:00.000,46134,4.1
191,17,2025-06-10 00:00:00.000,8464,3.8
192,3,2025-09-16 00:00:00.000,14392,1.0
193,15,2026-04-11 00:00:00.000,25969,3.1
194,14,2025-08-20 00:00:00.000,57971,1.3
195,16,2025-08-02 00:00:00.000,71659,6.5
196,14,2025-05-15 00:00:00.000,33725,9.6
197,10,2025-10-12 00:00:00.000,53874,9.4
198,8,2025-10-27 00:00:00.000,99345,2.6
199,5,2026-03-11 00:00:00.000,69432,7.5
200,5,2025-12-15 00:00:00.000,78075,3.3
