PERFORMANCE_PLAYER_ID,PERFORMANCE_ID,PLAYER_ID,INSTRUMENT_ID
621,156,3,1
622,156,16,4
623,156,2,2
624,156,17,3
625,157,7,1
626,157,14,4
627,157,16,2
628,157,1,3
629,158,14,1
630,158,3,4
631,158,13,2
632,158,1,3
633,159,5,1
634,159,3,4
635,159,8,2
636,159,5,3
637,160,8,1
638,160,18,4
639,160,3,2
640,160,11,3
641,161,8,1
642,161,19,4
643,161,3,2
644,161,1,3
645,162,19,1
646,162,16,4
647,162,12,2
648,162,15,3
649,163,6,1
650,163,18,4
651,163,5,2
652,163,9,3
653,164,17,1
654,164,6,4
655,164,19,2
656,164,13,3
657,165,7,1
658,165,20,4
659,165,16,2
660,165,8,3
661,166,14,1
662,166,16,4
663,166,17,2
664,166,7,3
665,167,5,1
666,167,5,4
667,167,1,2
668,167,18,3
669,168,4,1
670,168,16,4
671,168,9,2
672,168,6,3
673,169,8,1
674,169,3,4
675,169,3,2
676,169,11,3
677,170,9,1
678,170,16,4
679,170,6,2
680,170,11,3
681,171,5,1
682,171,15,4
683,171,9,2
684,171,1,3
685,172,6,1
686,172,18,4
687,172,2,2
688,172,18,3
689,173,1,1
690,173,19,4
691,173,4,2
692,173,7,3
693,174,11,1
694,174,19,4
695,174,11,2
696,174,8,3
697,175,4,1
698,175,3,4
699,175,5,2
700,175,4,3
701,176,17,1
702,176,17,4
703,176,2,2
704,176,19,3
705,177,1,1
706,177,20,4
707,177,9,2
708,177,3,3
709,178,17,1
710,178,12,4
711,178,1,2
712,178,17,3
713,179,20,1
714,179,6,4
715,179,19,2
716,179,11,3
717,180,17,1
718,180,12,4
719,180,20,2
720,180,1,3
721,181,7,1
722,181,17,4
723,181,11,2
724,181,8,3
725,182,13,1
726,182,8,4
727,182,3,2
728,182,3,3
729,183,4,1
730,183,3,4
731,183,18,2
732,183,7,3
733,184,2,1
734,184,20,4
735,184,12,2
736,184,17,3
737,185,18,1
738,185,14,4
739,185,1,2
740,185,6,3
741,186,11,1
742,186,13,4
743,186,10,2
744,186,12,3
745,187,4,1
746,187,16,4
747,187,10,2
748,187,14,3
749,188,8,1
750,188,13,4
751,188,1,2
752,188,6,3
753,189,7,1
754,189,7,4
755,189,3,2
756,189,3,3
757,190,17,1
758,190,20,4
759,190,8,2
760,190,7,3
761,191,13,1
762,191,16,4
763,191,8,2
764,191,1,3
765,192,9,1
766,192,20,4
767,192,15,2
768,192,2,3
769,193,16,1
770,193,4,4
771,193,3,2
772,193,2,3
773,194,14,1
774,194,18,4
775,194,10,2
776,194,3,3
777,195,14,1
778,195,14,4
779,195,7,2
780,195,8,3
781,196,8,1
782,196,14,4
783,196,1,2
784,196,8,3
785,197,7,1
786,197,13,4
787,197,9,2
788,197,11,3
789,198,15,1
790,198,2,4
791,198,9,2
792,198,7,3
793,199,19,1
794,199,3,4
795,199,1,2
796,199,6,3
797,200,3,1
798,200,13,4
799,200,6,2
800,200,18,3
